iter	Passed	Remaining
557	3842	3043
558	3845	3033
559	3853	3027
560	3856	3018
561	3860	3008
562	3867	3002
563	3871	2992
564	3874	2983
565	3882	2977
566	3887	2968
567	3894	2961
568	3898	2953
569	3903	2944
570	3912	2939
571	3916	2930
572	3924	2924
573	3929	2916
574	3941	2913
575	3947	2905
576	3959	2902
577	3970	2899
578	3975	2890
579	3983	2884
580	3988	2876
581	3993	2868
582	4002	2862
583	4006	2853
584	4016	2849
585	4019	2840
586	4023	2831
587	4029	2823
588	4033	2814
589	4036	2805
590	4041	2796
591	4045	2787
592	4048	2778
593	4056	2772
594	4059	2763
595	4063	2754
596	4070	2747
597	4073	2738
598	4077	2729
599	4085	2723
600	4090	2715
601	4094	2706
602	4099	2699
603	4104	2690
604	4110	2683
605	4116	2676
606	4128	2673
607	4135	2666
608	4140	2658
609	4144	2649
610	4152	2643
611	4155	2634
612	4159	2626
613	4166	2619
614	4170	2610
615	4174	2602
616	4182	2596
617	4186	2587
618	4189	2578
619	4196	2572
620	4200	2563
621	4203	2554
622	4209	2547
623	4213	2538
624	4217	2530
625	4220	2521
626	4227	2514
627	4231	2506
628	4236	2498
629	4241	2491
630	4248	2484
631	4256	2478
632	4261	2470
633	4268	2464
634	4314	2480
635	4326	2476
636	4332	2468
637	4341	2463
638	4346	2455
639	4356	2450
640	4360	2442
641	4370	2437
642	4375	2429
643	4379	2421
644	4384	2413
645	4387	2404
646	4391	2395
647	4399	2389
648	4403	2381
649	4415	2377
650	4419	2369
651	4428	2363
652	4433	2356
653	4444	2351
654	4448	2343
655	4457	2337
656	4461	2329
657	4465	2320
658	4473	2315
659	4478	2307
660	4486	2300
661	4490	2292
662	4495	2284
663	4503	2278
664	4507	2270
665	4516	2265
666	4521	2257
667	4527	2250
668	4532	2242
669	4537	2234
670	4549	2230
671	4560	2226
672	4566	2218
673	4577	2213
674	4583	2206
675	4594	2202
676	4598	2194
677	4607	2188
678	4612	2180
679	4620	2174
680	4623	2166
681	4627	2157
682	4635	2151
683	4638	2143
684	4642	2134
685	4649	2128
686	4653	2120
687	4656	2111
688	4664	2105
689	4667	2097
690	4671	2088
691	4676	2081
692	4681	2073
693	4685	2065
694	4688	2057
695	4693	2050
696	4697	2042
697	4711	2038
698	4722	2033
699	4729	2026
700	4740	2021
701	4744	2014
702	4753	2008
703	4758	2000
704	4768	1995
705	4772	1987
706	4781	1981
707	4786	1974
708	4790	1966
709	4797	1959
710	4801	1951
711	4811	1946
712	4815	1938
713	4824	1932
714	4829	1924
715	4836	1918
716	4841	1910
717	4845	1903
718	4854	1897
719	4858	1889
720	4867	1883
721	4871	1875
722	4876	1868
723	4884	1861
724	4889	1854
725	4894	1847
726	4898	1839
727	4902	1831
728	4908	1824
729	4912	1816
730	4915	1808
731	4922	1802
732	4926	1794
733	4930	1786
734	4937	1780
735	4941	1772
736	4945	1764
737	4952	1758
738	4956	1750
739	4960	1742
740	4966	1736
741	4970	1728
742	4974	1720
743	4980	1713
744	4983	1705
745	5032	1713
746	5059	1713
747	5068	1707
748	5075	1700
749	5080	1693
750	5103	1692
751	5109	1685
752	5113	1677
753	5119	1670
754	5124	1662
755	5132	1656
756	5137	1649
757	5141	1641
758	5148	1634
759	5154	1627
760	5163	1621
761	5167	1613
762	5171	1606
763	5177	1599
764	5181	1591
765	5184	1583
766	5191	1576
767	5194	1569
768	5198	1561
769	5204	1554
770	5208	1546
771	5211	1539
772	5219	1532
773	5222	1525
774	5226	1517
775	5233	1510
776	5237	1503
777	5240	1495
778	5247	1488
779	5251	1481
780	5255	1473
781	5263	1467
782	5267	1459
783	5272	1452
784	5279	1445
785	5284	1438
786	5293	1432
787	5297	1425
788	5301	1417
789	5307	1410
790	5311	1403
791	5314	1395
792	5320	1388
793	5324	1381
794	5328	1373
795	5333	1366
796	5338	1359
797	5341	1352
798	5346	1344
799	5352	1338
800	5355	1330
801	5359	1323
802	5365	1316
803	5369	1308
804	5373	1301
805	5379	1294
806	5383	1287
807	5387	1280
808	5394	1273
809	5397	1266
810	5401	1258
811	5408	1252
812	5413	1245
813	5417	1237
814	5424	1231
815	5428	1223
816	5434	1217
817	5439	1210
818	5444	1203
819	5453	1197
820	5459	1190
821	5464	1183
822	5469	1176
823	5472	1168
824	5476	1161
825	5481	1154
826	5485	1147
827	5489	1140
828	5496	1133
829	5500	1126
830	5503	1119
831	5510	1112
832	5514	1105
833	5518	1098
834	5524	1091
835	5528	1084
836	5532	1077
837	5537	1070
838	5542	1063
839	5546	1056
840	5552	1049
841	5557	1042
842	5562	1036
843	5571	1029
844	5576	1022
845	5582	1016
846	5588	1009
847	5596	1003
848	5603	996
849	5610	990
850	5616	983
851	5624	977
852	5630	970
853	5634	963
854	5641	956
855	5647	950
856	5655	943
857	5672	938
858	5677	931
859	5682	925
860	5688	918
861	5693	911
862	5700	904
863	5706	898
864	5710	891
865	5721	885
866	5726	878
867	5731	871
868	5741	865
869	5746	858
870	5757	852
871	5761	845
872	5771	839
873	5775	832
874	5785	826
875	5789	819
876	5793	812
877	5799	805
878	5803	798
879	5811	792
880	5814	785
881	5819	778
882	5827	772
883	5831	765
884	5835	758
885	5843	751
886	5846	744
887	5850	737
888	5857	731
889	5861	724
890	5869	717
891	5873	711
892	5878	704
893	5886	697
894	5906	692
895	5910	686
896	5917	679
897	5920	672
898	5924	665
899	5931	659
900	5935	652
901	5938	645
902	5944	638
903	5949	631
904	5952	624
905	5961	618
906	5965	611
907	5975	605
908	5983	598
909	5992	592
910	5997	585
911	6001	579
912	6008	572
913	6012	565
914	6026	559
915	6032	553
916	6038	546
917	6046	540
918	6065	534
919	6072	528
920	6083	521
921	6111	517
922	6117	510
923	6124	503
924	6128	496
925	6139	490
926	6144	483
927	6157	477
928	6169	471
929	6174	464
930	6185	458
931	6189	451
932	6200	445
933	6209	438
934	6215	432
935	6229	425
936	6244	419
937	6255	413
938	6260	406
939	6270	400
940	6275	393
941	6279	386
942	6288	380
943	6292	373
944	6301	366
945	6305	359
946	6317	353
947	6320	346
948	6328	340
949	6333	333
950	6342	326
951	6347	320
952	6351	313
953	6362	306
954	6373	300
955	6388	294
956	6396	287
957	6409	280
958	6422	274
959	6426	267
960	6431	261
961	6436	254
962	6441	247
963	6446	240
964	6453	234
965	6457	227
966	6463	220
967	6467	213
968	6478	207
969	6488	200
970	6492	193
971	6504	187
972	6510	180
973	6523	174
974	6538	167
975	6548	161
976	6553	154
977	6564	147
978	6569	140
979	6582	134
980	6587	127
981	6592	120
982	6606	114
983	6618	107
984	6631	100
985	6670	94
986	6721	88
987	6728	81
988	6738	74
989	6757	68
990	6765	61
991	6770	54
992	6782	47
993	6790	40
994	6794	34
995	6799	27
996	6802	20
997	6808	13
998	6812	6
999	6816	0
